evento_id,evento,deporte_id
99,Cycling Women's Sprint,29
100,Cycling Women's 500 metres Time Trial,29
101,Athletics Men's 110 metres Hurdles,7
102,Shooting Mixed Trap,26
103,Athletics Women's Marathon,7
104,Athletics Men's 100 metres,7
105,"Fencing Men's Foil, Team",24
106,"Fencing Men's Sabre, Team",24
107,Swimming Men's 100 metres Freestyle,9
108,Swimming Men's 4 x 200 metres Freestyle Relay,9
109,Boxing Men's Lightweight,27
110,Modern Pentathlon Men's Individual,33
111,Boxing Men's Welterweight,27
112,Rowing Men's Quadruple Sculls,22
113,Rowing Men's Double Sculls,22
114,Rowing Men's Coxed Pairs,22
115,Athletics Men's 400 metres Hurdles,7
116,Athletics Men's 400 metres,7
117,Athletics Men's Hammer Throw,7
118,Weightlifting Men's Featherweight,17
119,Athletics Men's 800 metres,7
120,Hockey Men's Hockey,21
121,Alpine Skiing Women's Slalom,15
122,Rowing Women's Single Sculls,22
123,Swimming Men's 50 metres Freestyle,9
124,Weightlifting Women's Featherweight,17
125,Water Polo Women's Water Polo,20
126,Figure Skating Men's Singles,34
127,Weightlifting Men's Heavyweight,17
128,"Equestrianism Mixed Three-Day Event, Individual",25
129,"Equestrianism Mixed Three-Day Event, Team",25
130,Figure Skating Mixed Team,34
131,Sailing Women's Three Person Keelboat,11
132,"Cycling Women's Road Race, Individual",29
133,Golf Women's Individual,35
134,Softball Women's Softball,36
135,Archery Women's Individual,37
136,"Wrestling Men's Heavyweight, Greco-Roman",18
137,Volleyball Men's Volleyball,38
138,Taekwondo Women's Heavyweight,28
139,Synchronized Swimming Women's Duet,39
140,Synchronized Swimming Women's Team,39
141,Taekwondo Women's Featherweight,28
142,Athletics Men's Marathon,7
143,Athletics Men's 4 x 400 metres Relay,7
144,"Athletics Men's 10,000 metres",7
145,"Athletics Women's 3,000 metres",7
146,Diving Women's Platform,30
147,"Shooting Men's Air Rifle, 10 metres",26
148,Athletics Men's 200 metres,7
149,Weightlifting Men's Flyweight,17
150,Swimming Men's 100 metres Backstroke,9
151,Weightlifting Men's Light-Heavyweight,17
152,"Wrestling Men's Lightweight, Greco-Roman",18
153,"Fencing Men's Sabre, Individual",24
154,"Wrestling Men's Super-Heavyweight, Greco-Roman",18
155,"Shooting Men's Free Pistol, 50 metres",26
156,"Shooting Men's Air Pistol, 10 metres",26
157,Rowing Men's Coxless Fours,22
158,Boxing Men's Light-Flyweight,27
159,Boxing Men's Super-Heavyweight,27
160,"Wrestling Men's Flyweight, Greco-Roman",18
161,"Shooting Women's Air Rifle, 10 metres",26
162,Weightlifting Men's Middle-Heavyweight,17
163,Athletics Men's Javelin Throw,7
164,Volleyball Women's Volleyball,38
165,"Wrestling Men's Welterweight, Greco-Roman",18
166,"Wrestling Men's Middleweight, Greco-Roman",18
167,"Athletics Men's 3,000 metres Steeplechase",7
168,"Wrestling Men's Middleweight, Freestyle",18
169,Swimming Women's 100 metres Backstroke,9
170,Swimming Women's 200 metres Backstroke,9
171,Swimming Women's 4 x 100 metres Medley Relay,9
172,"Wrestling Men's Light-Heavyweight, Freestyle",18
173,Modern Pentathlon Men's Team,33
174,Boxing Men's Bantamweight,27
175,Athletics Women's 200 metres,7
176,Table Tennis Women's Singles,40
177,Table Tennis Women's Doubles,40
178,Shooting Men's Skeet,26
179,Swimming Women's 50 metres Freestyle,9
180,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",26
181,Athletics Men's Triple Jump,7
182,Weightlifting Women's Lightweight,17
183,Athletics Women's Long Jump,7
184,"Fencing Women's epee, Individual",24
185,Swimming Men's 200 metres Freestyle,9
186,Swimming Men's 4 x 100 metres Freestyle Relay,9
187,Swimming Men's 200 metres Backstroke,9
188,Swimming Men's 200 metres Individual Medley,9
189,Swimming Men's 400 metres Individual Medley,9
190,Badminton Women's Singles,10
191,Boxing Men's Light-Middleweight,27
192,Tennis Men's Singles,32
193,"Wrestling Men's Bantamweight, Freestyle",18
194,"Wrestling Men's Flyweight, Freestyle",18
195,"Athletics Women's 5,000 metres",7
196,Weightlifting Women's Light-Heavyweight,17
197,Weightlifting Women's Heavyweight,17
198,Athletics Men's Discus Throw,7
199,Taekwondo Men's Featherweight,28
200,Taekwondo Men's Welterweight,28
201,Judo Men's Heavyweight,2
202,Cycling Men's Sprint,29
203,Bobsleigh Men's Two,23
204,"Wrestling Men's Lightweight, Freestyle",18
205,Nordic Combined Men's Team,41
206,Nordic Combined Men's Individual,41
207,Baseball Men's Baseball,42
208,Rowing Men's Coxed Fours,22
209,Cycling Men's 100 kilometres Team Time Trial,29
210,Rhythmic Gymnastics Women's Group,43
211,"Art Competitions Mixed Architecture, Designs For Town Planning",14
212,"Art Competitions Mixed Architecture, Architectural Designs",14
213,Gymnastics Women's Individual All-Around,13
214,Gymnastics Women's Team All-Around,13
215,Gymnastics Women's Floor Exercise,13
216,Gymnastics Women's Horse Vault,13
217,Gymnastics Women's Uneven Bars,13
218,Gymnastics Women's Balance Beam,13
219,Diving Women's Springboard,30
220,Diving Women's Synchronized Springboard,30
221,"Athletics Women's 10,000 metres",7
222,Sailing Mixed 7 metres,11
223,Judo Women's Half-Middleweight,2
224,Athletics Men's Decathlon,7
225,Biathlon Men's 10 kilometres Sprint,12
226,Biathlon Men's 20 kilometres,12
227,Biathlon Men's 4 x 7.5 kilometres Relay,12
228,Freestyle Skiing Men's Moguls,44
229,"Wrestling Men's Middleweight A, Greco-Roman",18
230,Athletics Women's Discus Throw,7
231,Swimming Women's 4 x 100 metres Freestyle Relay,9
232,"Athletics Women's 1,500 metres",7
233,"Shooting Women's Air Pistol, 10 metres",26
234,"Shooting Women's Sporting Pistol, 25 metres",26
235,"Canoeing Men's Kayak Doubles, 500 metres",31
236,"Canoeing Men's Kayak Singles, 500 metres",31
237,"Canoeing Men's Kayak Singles, 1,000 metres",31
238,"Shooting Men's Running Target, 50 metres",26
239,Judo Women's Half-Heavyweight,2
240,Athletics Women's Pole Vault,7
241,Rugby Sevens Women's Rugby Sevens,45
242,Table Tennis Men's Team,40
243,Figure Skating Mixed Pairs,34
244,Freestyle Skiing Men's Aerials,44
245,Rowing Women's Coxed Eights,22
246,Athletics Women's 4 x 400 metres Relay,7
247,Alpine Skiing Women's Giant Slalom,15
248,Alpine Skiing Women's Super G,15
249,Cross Country Skiing Women's 5 kilometres,6
250,Cross Country Skiing Women's 10 kilometres,6
251,Cross Country Skiing Women's 20 kilometres,6
252,"Cycling Men's 1,000 metres Time Trial",29
253,"Cycling Men's Individual Pursuit, 4,000 metres",29
254,"Wrestling Men's Welterweight, Freestyle",18
255,"Wrestling Men's Bantamweight, Greco-Roman",18
256,Rowing Women's Lightweight Double Sculls,22
257,Athletics Women's 800 metres,7
258,Rowing Women's Coxed Quadruple Sculls,22
259,Biathlon Men's 12.5 kilometres Pursuit,12
260,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,12
261,Rhythmic Gymnastics Women's Individual,43
262,"Canoeing Men's Kayak Singles, Slalom",31
263,Archery Men's Individual,37
264,Archery Men's Team,37
265,"Speed Skating Women's 1,500 metres",5
266,Speed Skating Women's Team Pursuit 6 laps,5
267,Cross Country Skiing Men's Sprint,6
268,Athletics Women's 400 metres,7
269,Figure Skating Women's Singles,34
270,"Speed Skating Men's 1,000 metres",5
271,Trampolining Men's Individual,46
272,Beach Volleyball Men's Beach Volleyball,47
273,"Cycling Women's Mountainbike, Cross-Country",29
274,"Athletics Men's Javelin Throw, Both Hands",7
275,Triathlon Women's Olympic Distance,48
276,Gymnastics Women's Team Portable Apparatus,13
277,"Cycling Men's Mountainbike, Cross-Country",29
278,Athletics Women's 400 metres Hurdles,7
279,Diving Men's Springboard,30
280,"Wrestling Men's Featherweight, Greco-Roman",18
281,Table Tennis Men's Singles,40
282,Art Competitions Mixed Painting,14
283,Cross Country Skiing Women's 3 x 5 kilometres Relay,6
284,Judo Men's Open Class,2
285,Rowing Women's Quadruple Sculls,22
286,"Gymnastics Men's Team All-Around, Swedish System",13
287,Nordic Combined Men's Sprint,41
288,Athletics Women's Pentathlon,7
289,"Art Competitions Mixed Painting, Unknown Event",14
290,"Cycling Men's Team Pursuit, 4,000 metres",29
291,Weightlifting Women's Middleweight,17
292,"Swimming Men's 1,500 metres Freestyle",9
293,"Wrestling Women's Light-Heavyweight, Freestyle",18
294,Swimming Women's 100 metres Freestyle,9
295,"Equestrianism Men's Jumping, Individual",25
296,"Equestrianism Men's Jumping, Team",25
297,"Equestrianism Men's Three-Day Event, Individual",25
298,"Equestrianism Men's Three-Day Event, Team",25
299,Alpine Skiing Women's Combined,15
300,Athletics Women's High Jump,7
301,"Ski Jumping Men's Normal Hill, Individual",49
302,"Canoeing Women's Kayak Fours, 500 metres",31
303,Ice Hockey Women's Ice Hockey,8
304,Sailing Men's One Person Dinghy,11
305,Trampolining Women's Individual,46
306,Curling Men's Curling,50
307,Art Competitions Mixed Literature,14
308,Judo Men's Middleweight,2
309,Biathlon Women's 15 kilometres,12
310,Biathlon Women's 3 x 7.5 kilometres Relay,12
311,Biathlon Women's 4 x 7.5 kilometres Relay,12
312,Judo Men's Half-Lightweight,2
313,"Fencing Women's Foil, Team",24
314,Swimming Women's 200 metres Butterfly,9
315,Swimming Women's 400 metres Individual Medley,9
316,Golf Men's Individual,35
317,Athletics Men's Standing High Jump,7
318,Athletics Men's Standing Long Jump,7
319,Athletics Men's 20 kilometres Walk,7
320,Swimming Men's 220 yard Freestyle,9
321,Swimming Men's 880 yard Freestyle,9
322,Swimming Men's One Mile Freestyle,9
323,Swimming Men's 4 x 50 Yard Freestyle Relay,9
324,Swimming Men's Plunge For Distance,9
325,"Shooting Men's Free Rifle, Three Positions, 300 metres",26
326,"Shooting Men's Military Rifle, Three Positions, 300 metres",26
327,"Shooting Men's Military Rifle, Any Position, 600 metres",26
328,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",26
329,"Shooting Men's Military Rifle, Prone, 300 metres",26
330,Judo Men's Half-Heavyweight,2
331,Archery Women's Team,37
332,Athletics Men's 50 kilometres Walk,7
333,Rowing Women's Double Sculls,22
334,Sailing Mixed 6 metres,11
335,Boxing Men's Light-Heavyweight,27
336,Boxing Women's Flyweight,27
337,Athletics Women's 100 metres Hurdles,7
338,"Athletics Men's Discus Throw, Greek Style",7
339,Curling Women's Curling,50
340,Sailing Mixed One Person Dinghy,11
341,"Wrestling Women's Heavyweight, Freestyle",18
342,Badminton Mixed Doubles,10
343,"Fencing Women's Foil, Individual",24
344,Sailing Mixed Two Person Keelboat,11
345,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",26
346,Table Tennis Men's Doubles,40
347,"Wrestling Men's Light-Flyweight, Freestyle",18
348,"Wrestling Women's Featherweight, Freestyle",18
349,Swimming Women's 200 metres Freestyle,9
350,Swimming Women's 400 metres Freestyle,9
351,Swimming Women's 200 metres Individual Medley,9
352,Sailing Men's Windsurfer,11
353,Freestyle Skiing Men's Slopestyle,44
354,"Shooting Men's Running Target, Single Shot",26
355,"Shooting Men's Running Target, Double Shot",26
356,Rugby Sevens Men's Rugby Sevens,45
357,"Wrestling Women's Lightweight, Freestyle",18
358,Modern Pentathlon Women's Individual,33
359,"Canoeing Men's Canadian Doubles, Slalom",31
360,Judo Women's Half-Lightweight,2
361,Diving Women's Plain High,30
362,"Equestrianism Men's Dressage, Individual",25
363,"Equestrianism Men's Dressage, Team",25
364,"Tennis Women's Singles, Covered Courts",32
365,Diving Men's Plain High,30
366,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",26
367,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",26
368,Swimming Women's 800 metres Freestyle,9
369,Sailing Women's Two Person Dinghy,11
370,Alpine Skiing Women's Downhill,15
371,"Shooting Men's Free Pistol, 50 metres, Team",26
372,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",26
373,"Shooting Men's Military Rifle, Prone, 300 metres, Team",26
374,"Shooting Men's Military Rifle, Prone, 600 metres, Team",26
375,"Shooting Men's Military Rifle, Standing, 300 metres, Team",26
376,"Shooting Men's Free Rifle, Prone, 600 metres",26
377,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",26
378,Rowing Men's Single Sculls,22
379,"Cycling Men's Tandem Sprint, 2,000 metres",29
380,Freestyle Skiing Women's Halfpipe,44
381,Athletics Women's Heptathlon,7
382,Cycling Men's Points Race,29
383,Synchronized Swimming Women's Solo,39
384,"Equestrianism Mixed Dressage, Individual",25
385,"Equestrianism Mixed Dressage, Team",25
386,Cross Country Skiing Men's 18 kilometres,6
387,Swimming Men's 100 metres Breaststroke,9
388,Figure Skating Mixed Ice Dancing,34
389,"Shooting Mixed Free Pistol, 50 metres",26
390,Sailing Women's Skiff,11
391,"Canoeing Men's Kayak Doubles, 10,000 metres",31
392,Triathlon Men's Olympic Distance,48
393,Sailing Women's One Person Dinghy,11
394,Cross Country Skiing Women's 30 kilometres,6
395,Cross Country Skiing Women's 15 km Skiathlon,6
396,Rowing Men's 17-Man Naval Rowing Boats,22
397,Beach Volleyball Women's Beach Volleyball,47
398,Weightlifting Men's Super-Heavyweight,17
399,Rowing Men's Lightweight Coxless Fours,22
400,"Wrestling Men's Light-Flyweight, Greco-Roman",18
401,"Canoeing Men's Canadian Singles, 1,000 metres",31
402,Sailing Mixed 5.5 metres,11
403,"Equestrianism Mixed Jumping, Team",25
404,Diving Men's Synchronized Platform,30
405,Snowboarding Men's Halfpipe,51
406,"Canoeing Women's Kayak Singles, Slalom",31
407,Weightlifting Women's Flyweight,17
408,Swimming Women's 100 metres Breaststroke,9
409,Swimming Women's 200 metres Breaststroke,9
410,"Wrestling Men's Middleweight B, Greco-Roman",18
411,Athletics Men's Stone Throw,7
412,"Athletics Men's Javelin Throw, Freestyle",7
413,Athletics Men's Pentathlon Ancient,7
414,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",26
415,Swimming Women's 100 metres Butterfly,9
416,Weightlifting Men's Heavyweight I,17
417,"Athletics Women's 3,000 metres Steeplechase",7
418,"Athletics Men's Shot Put, Both Hands",7
419,"Ski Jumping Men's Large Hill, Individual",49
420,"Ski Jumping Men's Large Hill, Team",49
421,Shooting Women's Trap,26
422,Badminton Men's Doubles,10
423,Swimming Women's 4 x 200 metres Freestyle Relay,9
424,Athletics Men's 10 kilometres Walk,7
425,Athletics Women's 20 kilometres Walk,7
426,Athletics Women's 80 metres Hurdles,7
427,Sailing Men's One Person Heavyweight Dinghy,11
428,Freestyle Skiing Women's Aerials,44
429,"Art Competitions Mixed Painting, Paintings",14
430,"Tennis Mixed Doubles, Covered Courts",32
431,Cycling Men's Madison,29
432,"Art Competitions Mixed Sculpturing, Statues",14
433,Rugby Men's Rugby,52
434,Weightlifting Men's Heavyweight II,17
435,"Canoeing Women's Kayak Doubles, 500 metres",31
436,"Short Track Speed Skating Men's 5,000 metres Relay",53
437,Cycling Men's Individual Time Trial,29
438,Judo Women's Heavyweight,2
439,"Canoeing Men's Kayak Doubles, 1,000 metres",31
440,"Gymnastics Men's Individual All-Around, 5 Events",13
441,"Wrestling Men's Super-Heavyweight, Freestyle",18
442,Biathlon Women's 10 kilometres Pursuit,12
443,Biathlon Women's 12.5 kilometres Mass Start,12
444,Biathlon Women's 4 x 6 kilometres Relay,12
445,"Fencing Women's Sabre, Team",24
446,Shooting Men's Double Trap,26
447,Weightlifting Men's Bantamweight,17
448,Taekwondo Men's Heavyweight,28
449,Sailing Mixed Windsurfer,11
450,Taekwondo Women's Welterweight,28
451,"Shooting Mixed Free Rifle, Three Positions, 300 metres",26
452,Skeleton Men's Skeleton,54
453,Cycling Men's 50 kilometres,29
454,"Shooting Mixed Rapid-Fire Pistol, 25 metres",26
455,Cycling Men's 333 metres Time Trial,29
456,Cycling Men's 20 kilometres,29
457,"Canoeing Men's Kayak Singles, 10,000 metres",31
458,Sailing Mixed Open,11
459,Sailing Mixed 1-2 Ton,11
460,"Canoeing Men's Canadian Singles, Slalom",31
461,Luge Men's Singles,19
462,Luge Mixed Men's Doubles,19
463,Sailing Mixed Multihull,11
464,Badminton Women's Doubles,10
465,"Speed Skating Women's 3,000 metres",5
466,Cross Country Skiing Women's 5/10 kilometres Pursuit,6
467,Cross Country Skiing Women's 4 x 5 kilometres Relay,6
468,Cross Country Skiing Women's 15 kilometres,6
469,Cross Country Skiing Women's 5/5 kilometres Pursuit,6
470,Diving Women's Synchronized Platform,30
471,Athletics Women's Triple Jump,7
472,Skeleton Women's Skeleton,54
473,Bobsleigh Men's Four/Five,23
474,"Art Competitions Mixed Painting, Drawings And Water Colors",14
475,"Shooting Men's Dueling Pistol, 30 metres",26
476,Boxing Women's Lightweight,27
477,Cycling Women's BMX,29
478,"Canoeing Men's Kayak Doubles, 200 metres",31
479,"Fencing Men's Sabre, Masters, Individual",24
480,Lacrosse Men's Lacrosse,55
481,"Canoeing Women's Kayak Singles, 500 metres",31
482,Athletics Women's 10 kilometres Walk,7
483,Sailing Mixed 12 metres,11
484,Judo Women's Extra-Lightweight,2
485,Diving Men's Synchronized Springboard,30
486,"Rowing Men's Coxed Fours, Outriggers",22
487,Gymnastics Men's Rope Climbing,13
488,Sailing Mixed Two Person Dinghy,11
489,"Art Competitions Mixed Architecture, Unknown Event",14
490,"Archery Men's Target Archery, 28 metres, Team",37
491,"Archery Men's Target Archery, 33 metres, Team",37
492,"Archery Men's Target Archery, 50 metres, Team",37
493,"Short Track Speed Skating Women's 3,000 metres Relay",53
494,Freestyle Skiing Women's Moguls,44
495,Short Track Speed Skating Men's 500 metres,53
496,"Shooting Men's Running Target, 10 metres",26
497,Polo Men's Polo,56
498,"Rowing Men's Coxed Fours, Inriggers",22
499,Cycling Men's BMX,29
500,Art Competitions Mixed Sculpturing,14
501,"Athletics Men's Cross-Country, Individual",7
502,"Athletics Men's Cross-Country, Team",7
503,Sailing Mixed 40 metres,11
504,Cross Country Skiing Men's 10/10 kilometres Pursuit,6
505,"Ski Jumping Women's Normal Hill, Individual",49
506,"Short Track Speed Skating Men's 1,000 metres",53
507,"Short Track Speed Skating Men's 1,500 metres",53
508,Gymnastics Men's Club Swinging,13
509,Tennis Women's Singles,32
510,Tennis Mixed Doubles,32
511,Tennis Women's Doubles,32
512,Judo Women's Middleweight,2
513,Judo Women's Lightweight,2
514,Cross Country Skiing Men's Team Sprint,6
515,Snowboarding Women's Halfpipe,51
516,"Canoeing Women's Kayak Singles, 200 metres",31
517,Canoeing Men's Kayak Relay 4 x 500 metres,31
518,"Athletics Men's 3,000 metres, Team",7
519,Cross Country Skiing Women's Sprint,6
520,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",26
521,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",26
522,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",26
523,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",26
524,"Shooting Men's Military Pistol, Team",26
525,Rowing Women's Coxed Fours,22
526,"Weightlifting Men's Unlimited, One Hand",17
527,"Canoeing Men's Canadian Singles, 500 metres",31
528,"Fencing Men's Foil, Masters, Individual",24
529,"Fencing Men's epee, Masters, Individual",24
530,"Gymnastics Men's Individual All-Around, Field Sports",13
531,"Gymnastics Men's Individual All-Around, Apparatus Work",13
532,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",14
533,"Fencing Women's epee, Team",24
534,"Swimming Men's 4,000 metres Freestyle",9
535,Swimming Men's Underwater Swimming,9
536,Sailing Mixed Skiff,11
537,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",26
538,"Shooting Men's Running Target, Single And Double Shot",26
539,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",26
540,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",26
541,Swimming Women's 10 kilometres Open Water,9
542,Snowboarding Women's Slopestyle,51
543,Snowboarding Men's Giant Slalom,51
544,Snowboarding Men's Parallel Giant Slalom,51
545,Snowboarding Men's Boardercross,51
546,Snowboarding Men's Parallel Slalom,51
547,"Cycling Men's Team Pursuit, 1,980 yards",29
548,"Cycling Men's 5,000 metres",29
549,Cycling Men's 100 kilometres,29
550,Cricket Men's Cricket,57
551,"Canoeing Men's Canadian Singles, 10,000 metres",31
552,Cross Country Skiing Women's Team Sprint,6
553,Boxing Women's Middleweight,27
554,Sailing Men's Skiff,11
555,Athletics Men's Pentathlon,7
556,"Swimming Men's 1,200 metres Freestyle",9
557,Shooting Women's Skeet,26
558,Biathlon Men's 15 kilometres Mass Start,12
559,Cross Country Skiing Men's 30 km Skiathlon,6
560,Cycling Men's 1/4 mile,29
561,Cycling Men's 1/2 mile,29
562,Cycling Men's 5 mile,29
563,Cycling Men's 25 mile,29
564,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",26
565,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",26
566,Speed Skating Men's Team Pursuit 8 laps,5
567,"Shooting Men's Free Rifle, 1,000 Yards",26
568,Cycling Women's Team Pursuit,29
569,"Speed Skating Women's 5,000 metres",5
570,"Athletics Men's 3,000 metres Walk",7
571,Snowboarding Women's Boardercross,51
572,"Shooting Mixed Running Target, 50 metres",26
573,Luge Mixed Team Relay,19
574,Cycling Women's Individual Time Trial,29
575,"Fencing Women's Sabre, Individual",24
576,"Fencing Men's Sabre, Individual, Three Hits",24
577,Archery Women's Double National Round,37
578,Cycling Men's Omnium,29
579,Equestrianism Mixed Hacks And Hunter Combined,25
580,Sailing Mixed 10 metres,11
581,"Shooting Men's Trap, Team",26
582,"Cycling Women's Individual Pursuit, 3,000 metres",29
583,Cycling Women's Points Race,29
584,Sailing Men's Two Person Keelboat,11
585,Cycling Men's Keirin,29
586,Cycling Men's Team Sprint,29
587,Athletics Men's 5 mile,7
588,"Shooting Men's Running Target, Single Shot, Team",26
589,Bobsleigh Women's Two,23
590,Racquets Men's Singles,58
591,Racquets Men's Doubles,58
592,"Art Competitions Mixed Literature, Lyric Works",14
593,Motorboating Mixed A-Class Open,59
594,Archery Men's Continental Style,37
595,Military Ski Patrol Men's Military Ski Patrol,60
596,"Art Competitions Mixed Painting, Graphic Arts",14
597,"Wrestling Women's Flyweight, Freestyle",18
598,"Art Competitions Mixed Literature, Unknown Event",14
599,Sailing Mixed 0.5-1 Ton,11
600,"Art Competitions Mixed Painting, Applied Arts",14
601,"Croquet Mixed Singles, One Ball",61
602,Croquet Mixed Doubles,61
603,"Shooting Men's Running Target, Double Shot, Team",26
604,"Shooting Men's Free Pistol, 50 yards",26
605,"Shooting Men's Free Pistol, 50 yards, Team",26
606,"Fencing Men's epee, Masters and Amateurs, Individual",24
607,Swimming Men's 10 kilometres Open Water,9
608,"Art Competitions Mixed Music, Compositions For Orchestra",14
609,Archery Men's Double York Round,37
610,"Wrestling Women's Middleweight, Freestyle",18
611,"Equestrianism Men's Vaulting, Individual",25
612,Swimming Men's 4 x 250 metres Freestyle Relay,9
613,Freestyle Skiing Women's Slopestyle,44
614,Table Tennis Women's Team,40
615,Athletics Women's Hammer Throw,7
616,"Canoeing Men's Kayak Singles, 200 metres",31
617,Short Track Speed Skating Women's 500 metres,53
618,Shooting Women's Double Trap,26
619,Rowing Men's 6-Man Naval Rowing Boats,22
620,Art Competitions Mixed Music,14
621,"Shooting Men's Free Rifle, Kneeling, 300 metres",26
622,"Shooting Men's Free Rifle, Prone, 300 metres",26
623,"Shooting Men's Free Rifle, Standing, 300 metres",26
624,"Short Track Speed Skating Women's 1,000 metres",53
625,"Athletics Men's 3,200 metres Steeplechase",7
626,Rowing Women's Coxless Fours,22
627,Freestyle Skiing Women's Ski Cross,44
628,Freestyle Skiing Men's Ski Cross,44
