deportista_id,nombre,genero,edad,altura,peso,equipo_id
260,Ahmed Abdo Mustafa,1,0,0,0,1003
261,Nasrollah Abdollahi,1,24,183,75,496
262,Yhyacinthe Mewoli Abdon,1,26,176,60,172
263,Hassane Abdou,1,23,185,67,228
264,Justin Abdou,1,29,175,85,174
265,Moustafa Ahmed Ismail Abdou Ali Arfah,1,31,0,0,308
266,Raouf Abdou,1,22,165,60,308
267,Mohamed Abdou ElSouad,1,19,180,76,308
268,Brahim Daoud Abdoulaye,1,25,0,71,191
269,Fawziya Abdoulkarim,2,27,180,67,172
270,Alaa ElDin Abdoun,1,23,188,78,308
271,Ibrahim Abdrabbou,1,27,0,0,308
272,Berik Abdrakhmanov,1,30,165,60,535
273,Maizurah Abdul Rahim,2,17,147,50,148
274,Mehdi Fahim Abdul AlSada,1,24,184,70,497
275,Bashir Abdullah Abdul Aziz,1,22,180,73,556
276,Chairil Anwar Abdul Aziz,1,24,163,61,619
277,Shaimaa Abdul Aziz,2,19,160,53,308
278,Mohamed Abdul Hadj,1,25,0,0,619
279,Jefri Kiko Bolkiah Abdul Hakeem,1,23,172,90,148
280,Mohamed Abdul Hamid,1,19,175,55,1003
281,S. Abdul Hamid,1,0,0,0,487
282,Hadi Abdul Jabbar,1,30,180,117.5,497
283,Mohamed Abed Abdul Jawad,1,22,169,65,899
284,Anouar Abdul Kader,1,27,0,0,1026
285,Talal Hassoun Abdul Kader,1,0,0,82,497
286,Abdul Aziz Hassan AlHadba Abdul Karim Abdul Kareem,1,23,169,60,556
287,Taha Abdul Karim,1,20,156,59,497
288,Masoud Abdul Khamis AlRahman,1,17,176,68,831
289,Abdul Haji Abdul Latheef,1,17,168,54,622
290,Fatima Abdul Majeed Hameed AlKirashi,2,14,0,0,81
291,Majed Ahmed Abdul Mohamed,1,26,172,70,899
292,Firouz Abdul Mohammadian,1,34,178,74,496
293,Hussam Abdul Rahman,1,30,175,80,526
294,Mohamed Ghulom Abdul Rahman,1,0,175,85,81
295,Suleman Abdul Rahman,1,29,174,55,332
296,Zambrose Abdul Rahman,1,24,173,64,619
297,Lala Abdul Rashid,1,38,169,91,770
298,Muhammad Abdul Rashid,1,23,181,72,770
299,Dana Abdul Razak Hussain ,2,22,163,56,497
300,A. Abdul Razzak,1,0,178,70,497
301,Mohamed Abdul Razzak,1,0,177,68,497
302,Muhammad Abdul Razzaq,1,0,0,0,770
303,Hazim Abdul Ridha,1,0,160,52,497
304,Rauf Abdul Seoud,1,21,0,0,308
305,Samir Ahmed Abdul Shakour,1,24,180,72,899
306,Nabil Abdul Tahlak,1,39,0,0,1094
307,Fahmi Ahmed Abdul Wahab AlTahri,1,23,0,0,741
308,Mohamed Abdul Wahab AlSalah,1,21,0,0,556
309,Qazi Abdul Waheed,1,30,0,0,770
310,Patmawati Abdul Wahid,2,32,158,58,491
311,Haidar AbdulAmir Hassan,1,21,185,80,497
312,Haidar AbdulRazzaq Hassan,1,22,175,75,497
313,Lawal Kolawole Kola Abdulai,1,21,172,66,722
314,Rukayatu Ruky Abdulai,2,22,180,59,174
315,Mona Ahmad Abdulaziz Hassanein,2,26,166,61,308
316,Zagalav Abdulbekovich Abdulbekov,1,26,160,62,978
317,Roosevelt M. Abdulgafur,1,24,181,73,799
318,Ahmed Abdulkareem Ahmed,1,20,0,0,497
319,Gamal Ahmed Abdulla,1,28,0,0,308
320,Mohamed Sayed Abdulla,1,18,0,0,308
321,Ahmad Hassan Abdullah,1,27,164,55,831
322,Ahmed Ghanim Abdullah,1,20,184,79,308
323,Aquil Hashim Abdullah Shumate ,1,31,187,83,1096
324,Atallah Abdullah,1,32,0,88,497
325,Magdy Ahmed Abdullah,1,25,0,0,308
326,Mohamed Abdullah,1,0,176,66,1094
327,Mohamed Samy Abdullah,1,0,165,65,1094
328,Mohamed Abdullah,1,0,180,76,497
329,Osama Abdullah,1,21,0,0,556
330,Tewfik Abdullah,1,23,0,0,308
331,Wan Azlan Abdullah,1,21,188,77,619
332,Zarinah Abdullah,2,21,0,0,929
333,Abdel Wahab Abdullah Salih,1,0,190,75,1003
334,Abubakar Sadiq Abdullahi,1,28,0,0,722
335,Abdulqdir Abdullayev,1,28,188,91,74
336,Arif Yadulla Abdullayev,1,27,164,60,74
337,Mukhammad Kadyr Abdullayev,1,22,169,63,1123
338,Muminzhon Abdullayev,1,22,190,130,1123
339,Namiq Yadulla Abdullayev,1,25,167,55,74
340,Laye Abdullayeva,2,21,170,47,74
341,lqar Abdulov,1,27,175,74,74
342,Abdullah Abdulrahman Zeyab,1,16,177,0,556
343,Abir Abdulrahman Khalil Mahmoud Khalil,2,16,162,72,308
344,Amer Abdulrahman Abdallah Hussain AlHammadi,1,23,168,68,1094
345,Omar Abdulrahman Ahmad AlRaaqi AlAmoudi,1,20,168,62,1094
346,Shaza Yahia Nazih Abdulrahman ElSayed,2,15,170,59,308
347,Najim Abdulrazak AlEnazy,1,18,150,60,556
348,Zeyad Abdulrazak AlKhudhur AlEnazy,1,19,181,66,556
349,Waheed Abdulridha Waheed Karaawi,1,33,178,74,497
350,Mohamed Abdultwab Ibrahim Abd ElBaki,1,21,162,69,308
351,Julius Shareef AbdurRahim,1,23,202,104,1096
352,Sherzod Abdurahmonov,1,22,178,73,1123
353,Rasul Abduraim,1,19,183,74,557
354,Bekzod Makhamadzhonovich Abdurakhmonov,1,26,172,74,1123
355,Mukhamadmurod Abdurakhmonov,1,29,192,117,1029
356,Adlan Aliyevich Abdurashidov,1,26,172,60,874
357,Yusup Abdusalomov,1,26,170,84,1029
358,Fawzi Abdussalam,1,0,179,76,587
359,Andrey Khakimovich Abduvaliyev,1,26,190,125,1088
360,Dzhamolidin Mirgarifanovich Abduzhaparov,1,24,174,72,978
361,Aybek Abdymomunov,1,18,162,54,557
362,Isao Ko Abe,1,24,177,75,514
363,Kazumi Abe,1,24,178,67,515
364,Kazuo Abe,1,25,166,69,514
365,Kinya Abe,1,23,168,68,514
366,Kiyoshi Abe,1,25,167,62,514
367,Masashi Abe,1,22,175,64,514
368,Naoki Abe,1,23,173,68,514
369,Osamu Abe,1,22,0,0,514
370,Shigeaki Abe,1,24,178,70,514
371,Shinnosuke Abe,1,21,179,91,514
372,Sanshiro Sonny Abe,1,26,166,57,514
373,Tadashi Abe,1,21,190,80,514
374,Tadatoshi Abe,1,28,170,60,514
375,Wakako Abe,2,18,168,60,514
376,Yoshiyuki Abe,1,31,175,67,514
377,Yuki Abe,1,22,177,75,514
378,Angelik Abebame,2,0,0,0,0
379,Addis Abebe,1,21,160,50,332
380,Biruk Abebe,1,22,173,62,332
381,Benaissa Abed,1,23,170,51,15
382,Soha Abed Elaal,2,35,0,0,308
383,Mojtaba Abedini Shormasti,1,27,180,83,496
384,Thophile Abega Mbida,1,30,0,0,172
385,Max Xam Abegglen,1,22,0,0,1019
386,Alexandre Abeid,1,22,194,92,138
387,Sonia Abejn Esteban,2,19,169,48,982
388,Abel Carlos da Silva Braga,1,19,190,73,138
389,Adolf Gaston Abel,1,45,0,0,399
390,Brooke Abel,2,20,163,52,1096
391,Clarence John Abel,1,23,185,102,1096
392,George Gordon Abel,1,35,0,0,174
393,Gnther Abel,1,19,183,80,1150
394,Irene Abel,2,19,160,48,302
395,Jennifer Abel,2,16,160,62,174
396,Katja Abel,2,25,165,55,399
397,Mara Abel Diguez,2,25,163,46,982
398,Roger Abel,1,24,0,0,675
399,Egil Sten Abel,1,20,0,0,357
400,Yaritza Abel Rojas,2,28,0,62,249
401,Abelardo Fernndez Antua,1,22,0,0,982
402,Arthur Abele,1,22,184,85,399
403,Ruth Abeles,2,18,153,48,503
404,Louis Grenville Lou Abell,1,15,0,0,1134
405,Jos Javier Abella Fanjul,1,22,176,66,656
406,Ramn Neptuno Abella Caside,1,26,0,0,1121
407,Ral Daniel Abella,1,26,0,0,45
408,Alfonso Abelln Lpez,1,37,174,63,982
409,Juan Luis Abelln Pallahi,1,19,0,0,982
410,Edwige Marie Abna Fouda,2,23,173,61,172
411,Gezahgne Abera,1,22,166,58,332
412,Tesfaye Abera Dibaba,1,24,192,68,332
413,Hugo Ral Aberastegui,1,27,186,84,45
414,Arvid berg,1,26,0,0,1012
415,Bjrn Olof Conny berg,1,23,181,76,1012
416,Nils Georg berg,1,19,181,78,1012
417,Sara Helena berg,2,17,190,73,1012
418,Karl Konrad berg,1,22,0,0,350
419,Majken berg,2,30,170,60,1012
420,Olof Viktor Olle berg,1,27,181,78,1012
421,Mohamed Aberhoune,1,23,187,75,683
422,Julianne Anne Abernathy,2,34,165,75,1098
423,Michael Brent Abernathy,1,22,182,84,1096
424,Moira Abernethy Ford ,2,17,0,0,967
425,Salim Abes,1,25,0,0,15
426,Edme Abetel Barr ,2,29,0,0,1019
427,Pasqualino Abeti,1,24,173,66,507
428,Elvan Abeylegesse,2,21,159,40,1071
429,Ruwani Abeymanne,2,30,160,53,989
430,Matthew Duncan Abeysinghe,1,20,180,74,989
431,Narek Abgaryan,1,24,166,52,55
432,Koutoua Francis Abia,1,26,180,80,237
433,Pablo Abin Vicen,1,23,177,68,982
434,David Abibssira,1,21,179,63,362
435,Silke Abicht,2,19,156,46,302
436,Haithem Abid,1,22,179,72,1070
437,Younis Abid Sadkhan,1,18,0,0,497
438,Jaiye Abidoye,1,30,0,0,722
439,Sagat Abikeyeva,2,27,160,78,535
440,Mitsuhiro Abiko,1,19,169,62,514
441,Tomomi Abiko,2,24,173,53,514
442,Catherine Kate Abilla Awino,2,27,162,56,537
443,Ismail Abilov Nizamolu ,1,25,172,82,154
444,Camille Anne Franoise Abily,2,27,168,60,362
445,Endurance Abinuwa,2,24,159,54,722
446,Bode Abiodun,1,35,170,68,722
447,Firmin Abissi,1,28,159,54,106
448,Sarah Abitbol,2,22,150,43,363
449,Inga Eduardovna Abitova,2,26,164,58,874
450,Ceyhun Abiyev,1,29,163,48,74
451,Diana Monteiro Abla,2,21,175,75,138
452,Enver Nazymovych Ablaiev,1,22,169,68,1084
453,Leslie Ablett,1,24,0,0,413
454,Edgar Allen Ed Ablowich,1,19,182,68,1096
455,Denis Mikhaylovich Ablyazin,1,19,161,62,874
456,Karin Abma,2,24,174,62,705
457,Thorine Christelle Aboa Mbeza,2,23,182,78,172
458,Felix Ahmed Aboagye,1,20,176,70,404
459,Bukola Dammy Abogunloko,2,17,170,53,722
460,Viktor Andreyevich Aboimov,1,22,190,78,978
461,Mohamed Aboker,1,26,175,61,962
462,Ilze bola,2,19,169,60,567
463,Agnese boltia,2,17,166,60,567
464,Abdul Razzak Aboobakur,1,25,168,59,622
465,Matthew Matt Abood,1,30,197,92,66
466,Piroska Abos Gvorgyzakab,2,25,0,0,982
467,JeanPierre AbossoloZe,1,27,0,0,172
468,Abdelhalim Muhammad Abou,1,27,210,88,308
469,Tarek Abou Al Dahab,1,28,170,64,576
470,Bachir Hani Abou Assi,1,24,175,74,576
471,Ashraf Abou ElHassan,1,25,186,86,308
472,Galal ElDin Abdel Meguid Abou ElKheir,1,24,0,0,308
473,Magdy Abou ElMagd,1,27,188,85,308
474,Essameldin Abou ElNein,1,29,205,102,308
475,Abdel Khlik Abou ElYazi,1,26,0,0,308
476,Mohamed Moustafa Abou Elea,1,20,168,54,308
477,Mahmoud Abou Elelaa,1,30,181,76,308
478,Mohammed Tawfiq Abou Habaga,1,27,0,0,308
479,Zaid Abou Hamed,1,30,182,79,1026
480,Youssef Kamel Mohamed Abou Ouf,1,24,0,0,308
481,Gaber Mooti Abou Zeid,1,22,187,82,308
482,Taher Abou Zeid Sayid Amer,1,22,0,0,308
483,Ahmed Farid AbouShadi,1,38,0,0,308
484,Abdel Fattah AbouShanab,1,24,0,0,1095
485,Sadoon Mohamed Aboub,1,21,170,48,497
486,Zakaria Aboub,1,20,171,65,683
487,Inni Aboubacar,1,0,0,0,721
488,Ibrahim Mohamedin Aboubaker,1,21,190,65,831
489,Ahmed Ghmin Aboud,1,22,170,51,497
490,Fathi Khalifa Aboud,1,23,175,75,587
491,Kamel Aboud,1,22,178,67,15
492,Marwan Suhail Aboud,1,0,0,0,497
493,Rabah Aboud,1,31,180,64,15
494,Mamdouh Taha AlHusseini Abouebaid,1,28,183,85,308
495,Alaaeldin Ahmad ElSayyid Abouelkassem,1,21,188,87,308
496,Haysam Farouk Abouelw,1,21,0,0,308
497,Waguih Rauf Aboul Seoud,1,22,0,0,308
498,ElSayed Aboumedan,1,26,178,81,308
499,Dany Abounaoum,1,22,0,0,576
500,Sdonoud Janvier Abouta,1,23,0,0,623
501,Mohamed Mohamed Mohamed Aboutrika,1,33,182,77,308
502,Ahmad Shah Abouwi,1,0,0,0,5
503,Adeola AboyadeCole,1,22,193,78,722
504,Cheryl Abplanalp,2,24,174,68,1096
505,Alexander Alex Abraham Steglitz ,1,25,186,84,399
506,Andrei Abraham,1,19,0,0,861
507,Attila brahm,1,21,192,88,477
508,Bernhard Abraham,1,0,0,0,399
509,Gary Abraham,1,17,175,64,413
510,Melita Isidora Abraham Schssler,2,19,170,62,198
511,Tadesse Abraham,1,33,178,61,1019
512,Shiny Kurisingal AbrahamWilson,2,19,167,53,487
513,Mariola Teresa Abrahamczyk Fronckowiak ,2,21,180,70,810
514,Ara Abrahamian,1,25,191,84,1012
515,Stphan Abrahamian Gonzalez,1,22,0,0,362
516,Clyde Abrahams,1,29,178,68,967
517,Glen Abrahams Martnez,1,22,179,72,236
518,Guy A. Abrahams,1,23,173,65,778
519,Harold Maurice Abrahams,1,20,183,75,413
520,Sidney Solomon Abrahams,1,21,0,0,413
521,Isak Abrahamsen,1,21,0,0,742
522,Knut Leo Abrahamsen,1,25,0,0,742
523,Trond Sevg Abrahamsen,1,19,183,87,742
524,Donald Robert Abrahamson Jr,1,26,162,67,1096
525,Richard Neal Abrahamson,1,24,190,88,1096
526,Kurt Christer Abrahamsson Abris ,1,24,187,77,1012
527,Erik Adolf Efraim Abrahamsson,1,22,172,61,1012
528,Karl Gran Abrahamsson,1,28,180,72,1012
529,Karl Gustaf Emanuel Abrahamsson,1,31,0,0,1012
530,Ulf Thommy Abrahamsson,1,24,185,81,1012
531,Fletcher Abram Jr,1,21,193,87,1096
532,Iason Abramashvili,1,17,176,82,395
533,Yelena Vasilyevna Abramchuk Kopets ,2,28,182,95,93
534,Oleksandr Volodymyrovych Abramenko,1,17,180,82,1084
535,Yevgeny Sergeyevich Abramenko,1,22,181,80,93
536,Lahcen Abrami,1,22,0,0,683
537,Ek aterina Abramia,2,16,167,43,395
538,Jernej Abrami,1,31,175,70,944
539,Levan Abramishvili,1,23,181,84,395
540,Andrey Vasilyevich Abramov,1,24,180,100,978
